# Stability boundary coordinates (det = 0)
# Columns: C11   C22   C12   x   y
  1.74942063   1.01764115  -0.88333597   0.15430710  -0.37253029
  1.76436405   1.02195872  -0.89616251   0.15420787  -0.37445021
  1.76436405   1.02195872  -0.89616251   0.15369495  -0.37503385
  1.77948391   1.02637849  -0.90907866   0.15381321  -0.37827830
  1.75706059   1.04880181  -0.91804593   0.14923296  -0.38130908
  1.75706059   1.04880181  -0.91804593   0.14889268  -0.38206714
  1.75706059   1.04880181  -0.91804593   0.14776658  -0.38307046
  1.77203757   1.05364505  -0.93118130   0.14733943  -0.38649569
  1.77203757   1.05364505  -0.93118130   0.14495099  -0.38951145
  1.76390506   1.08188034  -0.95306569   0.14448203  -0.39196987
  1.76390506   1.08188034  -0.95306569   0.14425868  -0.39344414
  1.76390506   1.08188034  -0.95306569   0.14142756  -0.39526355
  1.77890945   1.08726332  -0.96651073   0.14126682  -0.39719410
  1.77890945   1.08726332  -0.96651073   0.14098948  -0.39763007
  1.79409174   1.09275502  -0.98005242   0.14158583  -0.40101293
  1.79409174   1.09275502  -0.98005242   0.14028665  -0.40220877
  1.78495993   1.12284950  -1.00211844   0.13463956  -0.40755976
  1.78495993   1.12284950  -1.00211844   0.13430026  -0.40857011
  1.78495993   1.12284950  -1.00211844   0.13408433  -0.40903478
  1.80016392   1.12889897  -1.01597401   0.13467702  -0.41271596
  1.80016392   1.12889897  -1.01597401   0.13345874  -0.41439087
  1.81554793   1.13506132  -1.02993118   0.13370779  -0.41726975
  1.83111350   1.14133719  -1.04399134   0.13397650  -0.41967149
  1.80538879   1.16706189  -1.05214089   0.12805920  -0.42215462
  1.80538879   1.16706189  -1.05214089   0.12771481  -0.42337885
  1.80538879   1.16706189  -1.05214089   0.12754093  -0.42380082
  1.82078844   1.17380091  -1.06641603   0.12826888  -0.42739646
  1.83637018   1.18065732  -1.08079780   0.12902191  -0.43074096
  1.83637018   1.18065732  -1.08079780   0.12813117  -0.43159607
  1.85213555   1.18763179  -1.09528766   0.12861694  -0.43445776
  1.82515578   1.21461156  -1.10311165   0.12377956  -0.43699901
  1.82515578   1.21461156  -1.10311165   0.12373316  -0.43791223
  1.82515578   1.21461156  -1.10311165   0.12147813  -0.43896555
  1.84074674   1.22206442  -1.11781533   0.12152274  -0.44152303
  1.84074674   1.22206442  -1.11781533   0.12141473  -0.44178624
  1.84074674   1.22206442   1.11781533   0.12141473   0.44178624
  1.84074674   1.22206442   1.11781533   0.12152274   0.44152303
  1.82515578   1.21461156   1.10311165   0.12147813   0.43896555
  1.82515578   1.21461156   1.10311165   0.12373316   0.43791223
  1.82515578   1.21461156   1.10311165   0.12377956   0.43699901
  1.85213555   1.18763179   1.09528766   0.12861694   0.43445776
  1.83637018   1.18065732   1.08079780   0.12813117   0.43159607
  1.83637018   1.18065732   1.08079780   0.12902191   0.43074096
  1.82078844   1.17380091   1.06641603   0.12826888   0.42739646
  1.80538879   1.16706189   1.05214089   0.12754093   0.42380082
  1.80538879   1.16706189   1.05214089   0.12771481   0.42337885
  1.80538879   1.16706189   1.05214089   0.12805920   0.42215462
  1.83111350   1.14133719   1.04399134   0.13397650   0.41967149
  1.81554793   1.13506132   1.02993118   0.13370779   0.41726975
  1.80016392   1.12889897   1.01597401   0.13345874   0.41439087
  1.80016392   1.12889897   1.01597401   0.13467702   0.41271596
  1.78495993   1.12284950   1.00211844   0.13408433   0.40903478
  1.78495993   1.12284950   1.00211844   0.13430026   0.40857011
  1.78495993   1.12284950   1.00211844   0.13463956   0.40755976
  1.79409174   1.09275502   0.98005242   0.14028665   0.40220877
  1.79409174   1.09275502   0.98005242   0.14158583   0.40101293
  1.77890945   1.08726332   0.96651073   0.14098948   0.39763007
  1.77890945   1.08726332   0.96651073   0.14126682   0.39719410
  1.76390506   1.08188034   0.95306569   0.14142756   0.39526355
  1.76390506   1.08188034   0.95306569   0.14425868   0.39344414
  1.76390506   1.08188034   0.95306569   0.14448203   0.39196987
  1.77203757   1.05364505   0.93118130   0.14495099   0.38951145
  1.77203757   1.05364505   0.93118130   0.14733943   0.38649569
  1.75706059   1.04880181   0.91804593   0.14776658   0.38307046
  1.75706059   1.04880181   0.91804593   0.14889268   0.38206714
  1.75706059   1.04880181   0.91804593   0.14923296   0.38130908
  1.77948391   1.02637849   0.90907866   0.15381321   0.37827830
